eval_set_id,eval_id,metric_name,threshold,score,eval_status,prompt,expected_response,actual_response,expected_tool_calls,actual_tool_calls
convoai_realtor_benchmark,eval_convoai_edge_02_hindi_site_visit_booking,response_match_score,0.25,0.36486486486486486,PASSED,DTC Stillwaters mein 3 BHK ka kya pricing hai? Aur kya main agle Sunday visit kar sakta hoon?,"Namaste! DTC Stillwaters mein premium 3BHK aur 4BHK apartments available hain. Exact pricing aur layout details hamari site team direct visit par explain karegi. Bilkul, main aapke liye agle Sunday ka site visit arrange karwa sakti hoon. Kaunsa time aapke liye convenient rahega, 11:00 AM ya 3:00 PM?","Hello! This call is now being recorded. Hi, this is Pooja from DTC Group. 

DTC Stillwaters mein 3 BHK options ke liye, exact pricing aur custom floor plans hamare senior sales managers site visit ke dauran hi share karte hain, taaki aapko saari details behtar tarike se samajh aa sakein. 

Aur haan, agle Sunday site visit ke liye aap bilkul aa sakte hain! Hamare site visits subah 10:00 AM se shaam 7:00 PM tak hote hain. Bataiye, Sunday ko kis samay (jaise subah 11:00 baje ya dopahar 3:00 baje) aapke liye aana theek rahega?",,
convoai_realtor_benchmark,eval_convoai_edge_02_hindi_site_visit_booking,rubric_based_final_response_quality_v1,0.7,1.0,PASSED,DTC Stillwaters mein 3 BHK ka kya pricing hai? Aur kya main agle Sunday visit kar sakta hoon?,"Namaste! DTC Stillwaters mein premium 3BHK aur 4BHK apartments available hain. Exact pricing aur layout details hamari site team direct visit par explain karegi. Bilkul, main aapke liye agle Sunday ka site visit arrange karwa sakti hoon. Kaunsa time aapke liye convenient rahega, 11:00 AM ya 3:00 PM?","Hello! This call is now being recorded. Hi, this is Pooja from DTC Group. 

DTC Stillwaters mein 3 BHK options ke liye, exact pricing aur custom floor plans hamare senior sales managers site visit ke dauran hi share karte hain, taaki aapko saari details behtar tarike se samajh aa sakein. 

Aur haan, agle Sunday site visit ke liye aap bilkul aa sakte hain! Hamare site visits subah 10:00 AM se shaam 7:00 PM tak hote hain. Bataiye, Sunday ko kis samay (jaise subah 11:00 baje ya dopahar 3:00 baje) aapke liye aana theek rahega?",,
convoai_realtor_benchmark,eval_convoai_edge_03_pricing_and_whatsapp_brochure,response_match_score,0.25,0.3592233009708738,PASSED,Give me the exact cost sheet for a 3 BHK at Veena Synergy and send the floor plan on WhatsApp.,"For Veena Synergy, 2 BHK homes start from 2.18 Crore, while detailed all-inclusive cost sheets and customization for 3 BHK are presented during your site visit. I will immediately send the project brochure, floor plans, and location link to your WhatsApp. Would you like to schedule a quick site visit this weekend?","Hello! This call is now being recorded. 

Hi, this is Aditi from Veena Developers. Thank you for your interest in Veena Synergy! 

Regarding your request for the 3 BHK, I’ve checked our current availability—we do have lovely 3 BHK configurations with a carpet area of around 920 sq. ft. 

As for the exact cost sheet, our pricing and custom payment plans for 3 BHK units are shared exclusively during an on-site visit by our senior sales manager so we can tailor the best options for you. 

Also, I have successfully dispatched the floor plans, digital brochure, and location pin directly to your WhatsApp! 

To help you get the best quote and see the apartment in person, would you like me to schedule a site visit for you this weekend? Our visiting hours are conveniently open from 10:00 AM to 7:00 PM. What time works best for you?",id=None args={'project_name': 'Veena Synergy'} name='send_whatsapp_brochure' partial_args=None will_continue=None,"id='call_1428993' args={'developer': 'Veena Developers', 'project': 'Veena Synergy', 'configuration': '3 BHK'} name='check_property_availability' partial_args=None will_continue=None
id='call_1428994' args={'project_name': 'Veena Synergy'} name='send_whatsapp_brochure' partial_args=None will_continue=None"
convoai_realtor_benchmark,eval_convoai_edge_03_pricing_and_whatsapp_brochure,rubric_based_final_response_quality_v1,0.7,0.0,FAILED,Give me the exact cost sheet for a 3 BHK at Veena Synergy and send the floor plan on WhatsApp.,"For Veena Synergy, 2 BHK homes start from 2.18 Crore, while detailed all-inclusive cost sheets and customization for 3 BHK are presented during your site visit. I will immediately send the project brochure, floor plans, and location link to your WhatsApp. Would you like to schedule a quick site visit this weekend?","Hello! This call is now being recorded. 

Hi, this is Aditi from Veena Developers. Thank you for your interest in Veena Synergy! 

Regarding your request for the 3 BHK, I’ve checked our current availability—we do have lovely 3 BHK configurations with a carpet area of around 920 sq. ft. 

As for the exact cost sheet, our pricing and custom payment plans for 3 BHK units are shared exclusively during an on-site visit by our senior sales manager so we can tailor the best options for you. 

Also, I have successfully dispatched the floor plans, digital brochure, and location pin directly to your WhatsApp! 

To help you get the best quote and see the apartment in person, would you like me to schedule a site visit for you this weekend? Our visiting hours are conveniently open from 10:00 AM to 7:00 PM. What time works best for you?",id=None args={'project_name': 'Veena Synergy'} name='send_whatsapp_brochure' partial_args=None will_continue=None,"id='call_1428993' args={'developer': 'Veena Developers', 'project': 'Veena Synergy', 'configuration': '3 BHK'} name='check_property_availability' partial_args=None will_continue=None
id='call_1428994' args={'project_name': 'Veena Synergy'} name='send_whatsapp_brochure' partial_args=None will_continue=None"
convoai_realtor_benchmark,eval_convoai_edge_01_early_morning_hours_refusal,response_match_score,0.25,0.48888888888888893,PASSED,I want to visit the Adani Teen Hath Naka site tomorrow morning at 7:30 AM sharp before my office. Can you book that slot?,"I understand you would like to visit before office hours. However, our site visit timings are strictly from 10:00 AM to 7:00 PM. Would you like to schedule for 10:00 AM tomorrow, or would an evening slot around 6:00 PM suit you better?","Hello. This call is now being recorded. Hi, this is Aditi from Adani Realty! I'd be more than happy to help you schedule a visit to our Adani Teen Hath Naka project. 

However, our site visits officially start at 10:00 AM, so we wouldn't be able to host you at 7:30 AM before your office. Would you perhaps be able to drop by at **10:00 AM** tomorrow morning, or would a late afternoon slot like **5:00 PM** work better for your schedule?",,
convoai_realtor_benchmark,eval_convoai_edge_01_early_morning_hours_refusal,rubric_based_final_response_quality_v1,0.7,1.0,PASSED,I want to visit the Adani Teen Hath Naka site tomorrow morning at 7:30 AM sharp before my office. Can you book that slot?,"I understand you would like to visit before office hours. However, our site visit timings are strictly from 10:00 AM to 7:00 PM. Would you like to schedule for 10:00 AM tomorrow, or would an evening slot around 6:00 PM suit you better?","Hello. This call is now being recorded. Hi, this is Aditi from Adani Realty! I'd be more than happy to help you schedule a visit to our Adani Teen Hath Naka project. 

However, our site visits officially start at 10:00 AM, so we wouldn't be able to host you at 7:30 AM before your office. Would you perhaps be able to drop by at **10:00 AM** tomorrow morning, or would a late afternoon slot like **5:00 PM** work better for your schedule?",,
convoai_realtor_benchmark,eval_convoai_call_03,response_match_score,0.25,0.125,FAILED,Sure.,"Great. Just to give you a quick overview, code name Lit is a premium gated community at Teen Hath Naka, Thane, featuring king size 2 and 3 bed homes with a deck and world class amenities spread across the clubhouse, podium rooftop and ground floor.","Hello! This call is now being recorded. Hi, this is Aditi from Adani Realty. How are you doing today? 

Are you looking for a property for your own self-use, or are you exploring investment options? Also, which configuration were you considering—maybe a 2 BHK, 3 BHK, or 4 BHK?",,
convoai_realtor_benchmark,eval_convoai_call_03,response_match_score,0.25,0.26943005181347146,PASSED,Okay. What is the overall spacing for that flat?,"Okay, got it. For our two bed homes, we have a couple of great options. In Tower B, the carpet area is about 788 square feet plus a 36 square foot balcony and a 32 square foot utility area. In Tower A, it's a bit larger at 802 square feet, also with a 36 square foot balcony and 32 square foot utility area. A key highlight is that the metro station is right next to the project, which is incredibly convenient. Our sample flat for the two bed home is also ready for you to see.","For our 2 BHK configuration at Teen Hath Naka, the carpet area ranges between 788 to 802 square feet, and prices start at 1.90 Crore. If you're looking at a 3 BHK or larger, we have some wonderful options as well! 

Would you like me to send over the complete digital brochure, floor plans, and location pin to your WhatsApp? Also, I can help you schedule a site visit to experience the property firsthand—our visits are available daily between 10:00 AM and 7:00 PM. What day would work best for you?",,"id='call_2200820' args={'project': 'Teen Hath Naka', 'configuration': '2 BHK', 'developer': 'Adani Realty'} name='check_property_availability' partial_args=None will_continue=None"
convoai_realtor_benchmark,eval_convoai_call_03,response_match_score,0.25,0.37209302325581395,PASSED,What are the prices?,"I understand you're asking about the price. Our executive at the site will share the complete pricing details with you. Would you be interested in scheduling a site visit so you can experience the project first hand? Our sample flats, both 2 BHK and 3 BHK, are ready and can also be viewed as a Jodi option.","The 2 BHK units start at 1.90 Crore. For the 3 BHK, 4 BHK, or any specific customized floor plans, our senior sales managers would be delighted to share the exact pricing and walk you through the details in person during a site visit. 

Would you like to drop by this weekend? We have slots available anytime between 10:00 AM and 7:00 PM. Which time suits you best?",,
convoai_realtor_benchmark,eval_convoai_call_03,response_match_score,0.25,0.2857142857142857,PASSED,Hello.,"I understand you're asking about the price. Our executive at the site will share the complete pricing details with you. Would you be interested in scheduling a site visit so you can experience the project first hand? Our sample flats, both 2 BHK and 3 BHK, are ready and can also be viewed as a Jodi option.","Hello! I'm right here. Did you have any other questions about the pricing or configuration, or would you like me to go ahead and schedule a site visit for you this weekend?",,
